,caseID,eoff,acc,crash
794,1,5.6,-8.3,1
795,1,5.7,-8.3,1
796,1,5.8,-8.3,1
797,1,5.9,-8.3,1
798,1,6,-8.3,1
799,1,6.1,-8.3,1
800,1,6.2,-8.3,1
801,1,6.3,-8.3,1
802,1,6.4,-8.3,1
803,1,6.5,-8.3,1
804,1,6.6,-8.3,1
805,1,0,-8.8,0
806,1,0.1,-8.8,0
807,1,0.2,-8.8,0
808,1,0.3,-8.8,0
809,1,0.4,-8.8,0
810,1,0.5,-8.8,0
811,1,0.6,-8.8,0
812,1,0.7,-8.8,0
813,1,0.8,-8.8,0
814,1,0.9,-8.8,0
815,1,1,-8.8,0
816,1,1.1,-8.8,1
817,1,1.2,-8.8,1
818,1,1.3,-8.8,1
819,1,1.4,-8.8,1
820,1,1.5,-8.8,1
821,1,1.6,-8.8,1
822,1,1.7,-8.8,1
823,1,1.8,-8.8,1
824,1,1.9,-8.8,1
825,1,2,-8.8,1
826,1,2.1,-8.8,1
827,1,2.2,-8.8,1
828,1,2.3,-8.8,1
829,1,2.4,-8.8,1
830,1,2.5,-8.8,1
831,1,2.6,-8.8,1
832,1,2.7,-8.8,1
833,1,2.8,-8.8,1
834,1,2.9,-8.8,1
835,1,3,-8.8,1
836,1,3.1,-8.8,1
837,1,3.2,-8.8,1
838,1,3.3,-8.8,1
839,1,3.4,-8.8,1
840,1,3.5,-8.8,1
841,1,3.6,-8.8,1
842,1,3.7,-8.8,1
843,1,3.8,-8.8,1
844,1,3.9,-8.8,1
845,1,4,-8.8,1
846,1,4.1,-8.8,1
847,1,4.2,-8.8,1
848,1,4.3,-8.8,1
849,1,4.4,-8.8,1
850,1,4.5,-8.8,1
851,1,4.6,-8.8,1
852,1,4.7,-8.8,1
853,1,4.8,-8.8,1
854,1,4.9,-8.8,1
855,1,5,-8.8,1
856,1,5.1,-8.8,1
857,1,5.2,-8.8,1
858,1,5.3,-8.8,1
859,1,5.4,-8.8,1
860,1,5.5,-8.8,1
861,1,5.6,-8.8,1
862,1,5.7,-8.8,1
863,1,5.8,-8.8,1
864,1,5.9,-8.8,1
865,1,6,-8.8,1
866,1,6.1,-8.8,1
867,1,6.2,-8.8,1
868,1,6.3,-8.8,1
869,1,6.4,-8.8,1
870,1,6.5,-8.8,1
871,1,6.6,-8.8,1
872,1,0,-9.3,0
873,1,0.1,-9.3,0
874,1,0.2,-9.3,0
875,1,0.3,-9.3,0
876,1,0.4,-9.3,0
877,1,0.5,-9.3,0
878,1,0.6,-9.3,0
879,1,0.7,-9.3,0
880,1,0.8,-9.3,0
881,1,0.9,-9.3,0
882,1,1,-9.3,0
883,1,1.1,-9.3,1
884,1,1.2,-9.3,1
885,1,1.3,-9.3,1
886,1,1.4,-9.3,1
887,1,1.5,-9.3,1
888,1,1.6,-9.3,1
889,1,1.7,-9.3,1
890,1,1.8,-9.3,1
891,1,1.9,-9.3,1
892,1,2,-9.3,1
893,1,2.1,-9.3,1
894,1,2.2,-9.3,1
895,1,2.3,-9.3,1
896,1,2.4,-9.3,1
897,1,2.5,-9.3,1
898,1,2.6,-9.3,1
899,1,2.7,-9.3,1
900,1,2.8,-9.3,1
901,1,2.9,-9.3,1
902,1,3,-9.3,1
903,1,3.1,-9.3,1
904,1,3.2,-9.3,1
905,1,3.3,-9.3,1
906,1,3.4,-9.3,1
907,1,3.5,-9.3,1
908,1,3.6,-9.3,1
909,1,3.7,-9.3,1
910,1,3.8,-9.3,1
911,1,3.9,-9.3,1
912,1,4,-9.3,1
913,1,4.1,-9.3,1
914,1,4.2,-9.3,1
915,1,4.3,-9.3,1
916,1,4.4,-9.3,1
917,1,4.5,-9.3,1
918,1,4.6,-9.3,1
919,1,4.7,-9.3,1
920,1,4.8,-9.3,1
921,1,4.9,-9.3,1
922,1,5,-9.3,1
923,1,5.1,-9.3,1
924,1,5.2,-9.3,1
925,1,5.3,-9.3,1
926,1,5.4,-9.3,1
927,1,5.5,-9.3,1
928,1,5.6,-9.3,1
929,1,5.7,-9.3,1
930,1,5.8,-9.3,1
931,1,5.9,-9.3,1
932,1,6,-9.3,1
933,1,6.1,-9.3,1
934,1,6.2,-9.3,1
935,1,6.3,-9.3,1
936,1,6.4,-9.3,1
937,1,6.5,-9.3,1
938,1,6.6,-9.3,1
939,1,0,-9.8,0
940,1,0.1,-9.8,0
